State,headOf,lastName,firstName,ageState,ageGov
Guinea-Bissau,state,Embalo,Umaro,,
Guinea-Bissau,government,Gomes,Aristides,,
Guyana,state,Granger,David,,
Guyana,government,Nagamootoo,Moses,,
Haiti,state,Moise,Jovenel,,
Haiti,government,Michel,Fritz-William,,
Honduras,state,Hernandez,Juan Orlando,,
Honduras,government,Hernandez,Juan Orlando,,
Hungary,state,Ader,Janos,,
Hungary,government,Orban,Viktor,,
Iceland,state,Johannesson,Guoni,,
Iceland,government,Jakobsdottir,Katrin,,
India,state,Kovind,Ram Nath,,
India,government,Modi,Narendra,,
Indonesia,state,Widodo,Joko,,
Indonesia,government,Widodo,Joko,,
Iran,state,Khamenei,Ali,,
Iran ,government,Rouhani,Hassan,,
Ireland,state,Higgins,Michael,,
Ireland,government,Varadkar,Leo,,
Isreal,state,Riviln,Reuven,,
Isreal,government,Netanyahu,Benjamin,,
Italy,state,Mattarella,Sergio,,
Italy,government,Conte,Giuseppe,,
Ivory Coast,state,Outtara,Alanssane,,
Ivory Coast,government,Coulibaly,Amadou Gon,,
Jamaica,state,Elizabeth II,,,
Jamaica,state,Allen,Patrick,,
Jamaica,government,Holness,Andrew,,
Japan,state,Naruhito,,,
Japan,government,Zbe,Shinzo,,
Jordan,state,Abdullah,,,
Jordan,government,Razzaz,Omar,,
Kazakhstan,state,Nazarbayev,Nursultan,,
Kazakhstan,state,Toqaev,Qasym-Zhomart,,
Kazakhstan,government,Mamin,Askar,,
Kenya,state,Kenyatta,Uhuru,,
Kenya,government,Kenyatta,Uhuru,,
Kiribati,state,Mamau,Taneti,,
Kiribati,government,Mamau,Taneti,,
Kuwait,state,Al-Sabah,Sabah Al-Ahmad,,
Kuwait,government,Al-Sabah,Sabah Al-Kahlid,,
Kyrgyzstan,state,Jeenbekov,Sooronbay,,
Kyrgyzstan,government,Abylgaziev,Mukhammedkalyi,,
Laos,state,Vorachitch,Bounnhang,,
Laos,government,Vorachitch,Bounnhang,,
Laos,government,Sisoulith,Thongloun,,
Latvia,state,Levits,Eglis,,
Latvia,government,Karins,Krisjanis,,
Lebanon,state,Aoun,Michel,,
Lebanon,government,Diab,Hassan,,
Lesotho,state,Letsie,,,
Lesotho,government,Thabane,Tom,,
Liberia,state,Weah,George,,
Liberia,government,Weah,George,,
Libya,state,al-Sarraj,Fayez,,
Libya,government,al-Sarraj,Fayez,,
Liechtenstein,state,Hans-Adam,,,
Liechtenstein,government,Hasler,Adrian,,
Lithuania,state,Nauseda,Gitanas,,
Lithuania,government,Skvernelis,Saulius,,
Luxembourg,state,Henri,,,
Luxembourg,government,Bettel,Xavier,,
Madagascar,state,Rajoelina,Andry,,
Madagascar,government,Ntsay,Christian,,
Malawi,state,Mutharika,Peter,,
Malawi,government,Mutharika,Peter,,
Malaysia,state,Abdullah,,,
Malaysia,government,Mohamad,Mahathir,,
Maldives,state,Solih,Ibrahim,,
Maldives,government,Solih,Ibrahim,,
Mali,state,Keita,Ibrahim,,
Mali,government,Cisse,Boubou,,
Malta,state,Vella,George,,
Malta,government,Abela,Robert,,
Marshall Islands,state,Kabua,David,,
Marshall Islands,government,Kabua,David,,
Mauritania,state,Roopun,Prithvirajsing,,
Mauritania,government,Jugnauth,Pravind,,
Mexico,state,Lopez Obrador,Andrew,,
Mexico,government,Lopez Obrador,Andrew,,
Federated State of Micronesia,state,Panuelo,David,,
Federated State of Micronesia,government,Panuelo,David,,
Moldova,state,Dodon,Igor,,
Moldova,government,Chicu,Ion,,
Monaco,state,Albert,,,
Monaco,government,Telle,Serge,,
Mongolia,state,Battulga,Khaltmaagiin,,
Mongolia,government,Khurelsukh,Ukhnaagiin,,
Montenegro,state,Dukanovic,Milo,,
Montenegro,government,Markovic,Dusko,,
Morocco,state,Mohammed VI,,,
Morocco,government,Othmani,Saadeddine,,
Mozambique,state,Nyusi,Filipe,,
Mozambique,government,Rosario,Carlos,,
Myanmar,state,Myint,Win,,
Myanmar,government,Kyi,Aung,,
Namibia,state,Geingob,Hage,,
Namibia,government,Kuugongelwa,Saara,,
Nauru,state,Aingimea,Lionel,,
Nauru,government,Aingimea,Lionel,,
Nepal,state,Bhandari,Bidhya,,
Nepal,government,Oli,Khadga,,
Netherlands,state,Willem-Alexander,,,
Netherlands,government,Rutte,Mark,,
New Zealand,state,Elizabeth II,,,
New Zealand,state,Reddy,Patsy,,
New Zealand,government,Ardern,Jacinda,,
Nicaragua,state,Ortega,Daniel,,
Nicaragua,government,Ortega,Daniel,,
Niger,state,Issoufou,Mahamadou,,
Niger,government,Rafini,Brigi,,
Nigeria,state,Buhari,Muhammadu,,
Nigeria,government,Buhari,Muhammadu,,
North Korea,state,Jong-un,Kim,,
North Korea,state,Ryong-hae,Choe,,
North Korea,government,Jeo-ryong,Kim,,
North Macedonia,state,Pendarovski,Stevo,,
North Macedonia,government,Spasovski,Oliver,,
Norway,state,Harald,,,
Norway,government,Solberg,Ema,,
Oman,state,Tariq,Haitham,,
Oman,government,vacant,,,
Pakistan,state,Alvi,Arif,,
Pakistan,government,Khan,Imran,,
Palau,state,Remengesau,Thomas,,
Palau,government,Remengesau,Thomas,,
Palestine,state,Abbas,Mahmoud,,
Palestine,government,Shtayyeh,Mohammad,,
Panama,state,Cortizo,Laurentino,,
Panama,government,Cortizo,Laurentino,,
Papua New Guinea,state,Elizabeth II,,,
Papua New Guinea,state,Dadae,Bob,,
Papua New Guinea,government,Marape,James,,
Paraguay,state,Benitez,Mario,,
Paraguay,government,Benitez,Mario,,
Peru,state,Vizcarra,Martin,,
Peru,government,Zeballos,Vicente,,
Philippines,state,Duterte,Rodrigo,,
Philippines,government,Duterte,Rodrigo,,
Poland,state,Duda,Andrzej,,
Poland,government,Moraweicki,Mateusz,,
Portugal,state,Sousa,Marcelo Rebelo,,
Portugal,government,Costa,Antonio,,
Qatar,state,Al Thani,Tamim bin Hamad,,
Qatar,government,Al Thani,Khalid ibn Khalifa ibn Abdul Aziz,,
Romania,state,Iohannis,Klaus,,
Romania,government,Orban,Ludovic,,
Russia,state,Putin,Vladimir,,
Russia,government,Mishustin,Mikhail,,
Rwanda,state,Kagame,Paul,,
Rwanda,government,Ngirente,Edouard,,
Saint Kitts and Nevis,state,Elizabeth II,,,
Saint Kitts and Nevis,state,Seaton,Tapley,,
Saint Kitts and Nevis,government,Harris,Timothy,,
Saint Lucia,state,Elizabeth II,,,
Saint Lucia,state,Cenac,Neville,,
Saint Lucia,government,Chastanet,Allen,,
Saint Vincent and the Grenandines,state,Elizabeth II,,,
Saint Vincent and the Grenandines,state,Dougan,Susan,,
Saint Vincent and the Grenandines,government,Gonsalves,Ralph,,
Samoa,state,Sualauvi,Va'aletoa,,
Samoa,government,Malielegaoi,Tuilaepa,,
San Marino,state,Boschi,Luca,,
San Marino,state,Mularoni,Mariella,,
San Marino,government,Boschi,Luca,,
San Marino,government,Mularoni,Mariella,,
Sao Tome and Principe,state,Carvalho,Evaristo,,
Sao Tome and Principe,government,Jesus,Jorge Bom,,
Saudi Arabia,state,Al Saud,Salman ,,
Saudi Arabia,government,Al Saud,Salman ,,
Saudi Arabia,government,Al Saud,Mohammad,,
Senegal,state,Sall,Macky,,
Senegal,government,Sall,Macky,,
Serbia,state,Vucic,Aleksandar,,
Serbia,government,Brnabic,Ana,,
Seychelles,state,Faure,Danny,,
Seychelles,government,Faure,Danny,,
Sierra Leone,state,Bio,Julius Maada,,
Sierra Leone,government,Francisco,David,,
Singapore,state,Yacob,Halimah,,
Singapore,government,Loong,Lee Hsien,,
Slovakia,state,Caputova,Zuzana,,
Slovakia,government,Pellegrini,Peter,,
Slovenia,state,Pahor,Borut,,
Slovenia,government,Sarec,Marjan,,
Solomon Islands,state,Elizabeth II,,,
Solomon Islands,state,Vunagi,David,,
Solomon Islands,government,Sogavare,Manasseh,,
Somalia,state,Mohamed,Mohamed Abdullahi,,
Somalia,government,Khayre,Hassan Ali,,
South Africa,state,Ramaphosa,Cyril,,
South Africa,government,Ramaphosa,Cyril,,
South Korea,state,Jae-in,Moon,,
South Korea,government,Sye-kyun,Chung,,
South Sudan,state,Mayardit,Salva Kiir,,
South Sudan,government,Mayardit,Salva Kiir,,
Spain,state,Felipe VI,,,
Spain,government,Sanchez,Pedro,,
Sri Lanka,state,Rajapaksa,Gotabaya,,
Sri Lanka,government,Rajapaksa,Abdalla,,
Suriname,state,Bouterse,Desi,,
Suriname,government,Bouterse,Desi,,
Sweden,state,Gustaf,Carl,,
Sweden,government,Lofven,Stefan,,
Switzerland,state,Sommaruga,Simonetta,,
Switzerland,state,Parmelin,Guy,,
Switzerland,state,Maurer,Ueli,,
Switzerland,state,Berset,Alain,,
Switzerland,state,Cassis,Ignazio,,
Switzerland,state,Killer-Sutter,Karin,,
Switzerland,state,Amherd,Viola,,
Switzerland,government,Sommaruga,Simonetta,,
Switzerland,government,Parmelin,Guy,,
Switzerland,government,Maurer,Ueli,,
Switzerland,government,Berset,Alain,,
Switzerland,government,Cassis,Ignazio,,
Switzerland,government,Killer-Sutter,Karin,,
Switzerland,government,Amherd,Viola,,
Syria,state,al-Assad,Bashar,,
Syria,government,Khamis,Imad,,
Tajikistan,state,Rhamon,Emomali,,
Tajikistan,government,Rasulzoda,Kokhir,,
Tanzania,state,Magufuli,John,,
Tanzania,government,Majaliwa,Kassim,,
Thailand,state,Vajiralongkorn,Maha,,
Thailand,government,Chan-o-cha,Prayut,,
Togo,state,Gnassingbe,Faure,,
Togo,government,Kalssou,Komi Selom,,
Tonga,state,Tupou VI,,,
Tonga,government,Tu'I'onetoa,Pohiva,,
Trinidad and Tobago,state,Weekes,Paula-Mae,,
Trinidad and Tobago,government,Rowley,Keith,,
Tunisia,state,Saied,Kais,,
Tunisia,government,Fakhfakh,Elyes,,
Turkey,state,Erdogan,Recep,,
Turkey,government,Erdogan,Recep,,
Turkmenistan,state,Berdimuhamedow,Turbanguly,,
Turkmenistan,government,Berdimuhamedow,Turbanguly,,
Tuvalu,state,Elizabeth II,,,
Tevalu,state,Italeli,Lakoba,,
Tevalu,government,Natano,Kausea,,
Uganda,state,Museveni,Yoweri,,
Uganda,government,Rugunda,Ruhakana,,
Ukraine,state,Zelensky,Volodymyr,,
Ukraine,government,Honcharuk,Oleksiy,,
United Arab Emirates,state,Kahyan,Kalifa,,
United Arab Emirates,government,Al Maktoum,Mohammed,,
United Kingdom,state,Elizabeth II,,,
United Kingdom,Johnson,Borisov,,,
United States,state,Trump,Donald,,
United States,government,Trump,Donald,,
Uruguay,state,Pou,Luis Lacalle,,
Uruguay,government,Pou,Luis Lacalle,,
Uzbekistan,state,Mirziyoyev,Shavkat,,
Uzbekistan,government,Aripov,Abdullah,,
Vanuatu,state,Moses,Tallis,,
Vanuatu,government,Salwai,Charlot,,
Vatican City,state,Bergoglio,Jerge,,
Vatican City,government,Bertello,Giuseppe,,
Venezuela,state,Maduro,Nicolas,,
Venezuela,government,Maduro,Nicolas,,
Vietnam,state,Trong,Nguyen,,
Vietnam,government,Phuc,Ngyuyen,,
Yemen,state,Hadi,Abdrabbuh Mansur,,
Yemen,government,Saeed,Maeen Abdulmalik,,
Zambia,state,Lungu,Edgar,,
Zambia,government,Lungu,Edgar,,
Zimbabwe,state,Mnangagwa,Emmerson,,
Abkhazia,state,Bganba,Valeri,,
Abkhazia,government,Bganba,Valeri,,
Cook Islands,state,Elizabeth II,,,
Cook Islands,state,Marsters,Tom,,
Cook Islands,government,Puna,Henry,,
Kosovo,state,Thaci,Hashim,,
Kosovo,government,Kuri,Albin,,
Niue,state,Elizabeth II,,,
Niue,state,Reddy,Patsy,,
Niue,government,Talagi,Toke,,
Northern Cyprus,state,Ak?nc? ,Mustafa,,
Northern Cyprus,government,Tatar,Ersin,,
Sahrawi Arab Democratic Republic,state,Ghali,Brahim,,
Sahrawi Arab Democratic Republic,government,Akeik,Mohamed Wali,,
South Ossetia,state,Bibilov,Anatoly,,
South Ossetia,government,Pukhayev,Erik,,
Taiwan,state,Ing-wen,Tsai,,
Taiwan,government,Tseng-chang,Su,,
