,0,1,2,3,4,5
47,1946,Hermann Hesse,  Switzerland,German,"""for his inspired writings, which while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""[52]","novel, poetry"
48,1947,André Gide, France,French,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""[53]","novel, essay"
49,1948,T. S. Eliot, United Kingdom,English,"""for his outstanding, pioneer contribution to present-day poetry""[54]",poetry
50,1949,William Faulkner, United States,English,"""for his powerful and artistically unique contribution to the modern American novel""[55]","novel, short story"
51,1950,Bertrand Russell, United Kingdom,English,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""[56]",philosophy
52,1951,Pär Lagerkvist, Sweden,Swedish,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""[57]","poetry, novel, short story, drama"
53,1952,François Mauriac, France,French,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""[58]","novel, short story"
54,1953,Winston Churchill, United Kingdom,English,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""[59]","history, essay, memoirs"
55,1954,Ernest Hemingway, United States,English,"""for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style""[60]","novel, short story, screenplay"
56,1955,Halldór Laxness, Iceland,Icelandic,"""for his vivid epic power, which has renewed the great narrative art of Iceland""[61]","novel, short story, drama, poetry"
57,1956,Juan Ramón Jiménez, Spain,Spanish,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""[62]",poetry
58,1957,Albert Camus, France,French,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""[63]","novel, short story, drama, philosophy, essay"
59,1958,Boris Pasternak, Soviet Union,Russian,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""[64]","novel, poetry, translation"
60,1959,Salvatore Quasimodo, Italy,Italian,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""[65]",poetry
